Address,Year_Built,Story_Number,Unit_Number,Evaluation_Score,Parking_Area,Elevator_Maintenance,Building_Cleanliness,Windows
1162 Toronto Road,2008,34,584,73,0,3,0,1
1163 Toronto Road,1935,19,541,62,0,1,0,3
1164 Toronto Road,2005,32,45,56,2,1,0,0
1165 Toronto Road,1878,42,534,82,1,2,3,1
1166 Toronto Road,1857,39,285,44,0,3,2,2
1167 Toronto Road,1865,28,360,46,3,1,3,2
1168 Toronto Road,1890,29,395,75,0,0,2,3
1169 Toronto Road,1978,15,625,92,2,2,2,0
1170 Toronto Road,1879,19,700,46,0,1,3,3
1171 Toronto Road,1917,30,141,67,2,3,0,2
1172 Toronto Road,1995,30,41,26,1,3,0,1
1173 Toronto Road,1960,34,440,50,0,3,2,2
1174 Toronto Road,2000,17,484,23,3,0,3,3
1175 Toronto Road,1984,29,501,76,3,0,2,0
1176 Toronto Road,1852,4,599,34,2,0,2,0
1177 Toronto Road,1873,14,81,24,1,1,1,2
1178 Toronto Road,1928,8,522,56,2,2,2,3
1179 Toronto Road,1969,37,65,48,0,3,1,0
1180 Toronto Road,1873,23,378,59,1,0,0,1
1181 Toronto Road,1983,31,674,79,0,1,2,3
1182 Toronto Road,2004,10,56,56,3,0,0,1
1183 Toronto Road,2018,47,354,90,0,3,0,0
1184 Toronto Road,1991,30,70,16,3,2,1,1
1185 Toronto Road,1955,7,365,62,2,1,1,2
1186 Toronto Road,1844,33,95,79,3,1,2,0
1187 Toronto Road,1909,35,670,8,1,3,0,2
1188 Toronto Road,1987,46,409,87,0,2,3,0
1189 Toronto Road,1870,41,103,42,1,3,2,2
1190 Toronto Road,1924,29,614,23,1,1,2,1
1191 Toronto Road,1896,30,32,94,2,2,0,1
1192 Toronto Road,1999,23,220,99,2,1,3,2
1193 Toronto Road,1952,4,188,67,1,3,3,3
1194 Toronto Road,1942,29,184,25,1,2,3,3
1195 Toronto Road,2021,29,684,13,2,1,2,2
1196 Toronto Road,2014,45,186,95,2,3,0,3
1197 Toronto Road,1872,38,16,71,3,0,2,3
1198 Toronto Road,1906,43,410,97,1,0,2,1
1199 Toronto Road,1884,27,654,48,2,2,2,3
1200 Toronto Road,1933,23,243,59,1,3,3,2
1201 Toronto Road,1838,25,709,63,1,2,2,3
1202 Toronto Road,2000,6,581,84,1,3,1,3
1203 Toronto Road,1861,12,88,51,2,0,0,0
1204 Toronto Road,1843,17,214,68,1,3,0,1
1205 Toronto Road,1843,47,166,21,3,0,1,2
1206 Toronto Road,1856,27,617,95,0,1,1,0
1207 Toronto Road,1950,27,249,15,2,0,2,0
1208 Toronto Road,1896,17,403,88,1,0,1,0
1209 Toronto Road,1889,50,197,74,3,2,0,2
1210 Toronto Road,1964,39,40,41,0,3,1,1
1211 Toronto Road,1909,28,403,1,2,2,2,2
1212 Toronto Road,1892,8,359,7,2,2,3,2
1213 Toronto Road,1968,48,102,100,1,3,0,2
1214 Toronto Road,1894,44,306,10,2,3,0,3
1215 Toronto Road,1909,7,345,77,1,3,0,0
1216 Toronto Road,1885,13,49,80,2,3,2,2
1217 Toronto Road,1929,18,110,96,0,2,3,3
1218 Toronto Road,1878,37,684,32,2,2,2,2
1219 Toronto Road,1850,25,591,53,2,3,1,3
1220 Toronto Road,1994,8,686,74,0,1,1,1
1221 Toronto Road,1858,4,519,29,2,1,0,0
1222 Toronto Road,1900,32,459,24,1,3,0,1
1223 Toronto Road,1945,48,343,88,0,3,2,2
1224 Toronto Road,1872,32,514,80,3,3,2,2
1225 Toronto Road,1861,49,490,40,3,0,1,0
1226 Toronto Road,1991,23,587,62,0,3,1,3
1227 Toronto Road,1858,12,494,96,2,3,0,0
1228 Toronto Road,2002,29,488,56,3,3,3,3
1229 Toronto Road,1939,20,110,12,2,2,2,3
1230 Toronto Road,1951,33,524,90,3,2,3,1
1231 Toronto Road,1988,5,347,66,3,2,1,3
1232 Toronto Road,1844,47,186,65,2,2,1,3
1233 Toronto Road,1900,48,328,22,1,3,1,0
1234 Toronto Road,1927,40,567,57,2,0,3,1
1235 Toronto Road,1862,29,62,99,0,0,2,3
1236 Toronto Road,1999,22,108,53,3,0,1,3
1237 Toronto Road,1871,19,44,45,3,1,0,0
1238 Toronto Road,1890,8,673,63,3,1,2,3
1239 Toronto Road,2022,9,52,5,0,1,1,3
1240 Toronto Road,1867,27,162,5,3,1,2,0
1241 Toronto Road,1998,6,217,6,1,2,1,2
1242 Toronto Road,2014,30,586,5,1,2,2,1
1243 Toronto Road,1977,24,578,30,3,1,3,1
1244 Toronto Road,1920,48,564,61,3,2,2,2
1245 Toronto Road,1874,39,217,84,0,2,1,2
1246 Toronto Road,1881,40,490,60,1,0,2,0
1247 Toronto Road,2023,43,619,41,2,2,0,3
1248 Toronto Road,1883,41,237,43,3,3,2,3
1249 Toronto Road,1898,46,87,70,1,0,3,2
1250 Toronto Road,1939,6,685,98,2,3,3,1
1251 Toronto Road,1898,30,171,48,3,2,3,3
1252 Toronto Road,1891,35,184,23,0,0,3,1
1253 Toronto Road,1894,43,307,91,2,0,1,0
1254 Toronto Road,1993,34,560,25,1,2,2,0
1255 Toronto Road,1985,4,94,68,0,1,1,1
1256 Toronto Road,1981,16,577,68,2,3,1,2
1257 Toronto Road,1895,7,211,79,0,0,1,0
1258 Toronto Road,1846,31,538,59,1,0,1,3
1259 Toronto Road,1919,20,460,67,0,1,1,3
1260 Toronto Road,1896,27,484,47,2,1,0,3
1261 Toronto Road,2011,49,547,85,1,1,3,1
1262 Toronto Road,1919,38,584,100,1,2,1,3
1263 Toronto Road,1953,44,512,58,1,2,0,3
1264 Toronto Road,1842,7,645,80,1,0,1,0
1265 Toronto Road,1961,34,174,97,0,2,1,0
1266 Toronto Road,1851,51,465,20,0,0,0,2
1267 Toronto Road,1955,31,689,34,3,2,3,1
1268 Toronto Road,1929,39,583,100,0,0,3,3
1269 Toronto Road,2021,35,28,51,0,1,3,0
1270 Toronto Road,1841,46,279,44,1,2,2,2
1271 Toronto Road,1855,42,372,70,0,2,0,3
1272 Toronto Road,2008,31,185,92,3,1,3,3
1273 Toronto Road,1934,36,310,23,2,0,3,1
1274 Toronto Road,1842,12,393,3,2,1,0,3
1275 Toronto Road,2010,10,297,62,3,1,1,1
1276 Toronto Road,1946,51,29,24,0,2,3,2
1277 Toronto Road,2001,25,190,99,3,3,3,0
1278 Toronto Road,1937,30,557,7,0,1,1,3
1279 Toronto Road,2002,31,610,73,3,2,1,3
1280 Toronto Road,1952,12,272,55,0,3,1,0
1281 Toronto Road,2001,47,670,11,2,3,3,3
1282 Toronto Road,1997,28,303,63,0,2,0,0
1283 Toronto Road,1864,51,710,22,1,0,0,2
1284 Toronto Road,1880,33,469,87,1,0,1,0
1285 Toronto Road,1885,9,623,54,1,0,3,2
1286 Toronto Road,1961,23,480,72,2,0,2,0
1287 Toronto Road,1997,10,95,1,2,1,1,3
1288 Toronto Road,1859,39,628,90,2,3,1,3
1289 Toronto Road,2020,44,482,60,2,3,0,2
1290 Toronto Road,1918,3,182,56,2,2,1,3
1291 Toronto Road,1931,42,99,3,2,3,0,1
1292 Toronto Road,1980,9,549,86,0,3,3,1
1293 Toronto Road,1917,46,147,98,2,2,2,1
1294 Toronto Road,2003,18,159,53,3,2,3,0
1295 Toronto Road,1917,10,133,43,1,2,1,2
1296 Toronto Road,1964,7,338,14,1,1,0,3
1297 Toronto Road,1981,37,559,20,1,3,1,0
1298 Toronto Road,1888,46,246,92,2,1,1,2
1299 Toronto Road,1871,14,525,97,1,0,2,2
1300 Toronto Road,1908,33,663,67,2,0,1,0
1301 Toronto Road,1867,31,177,32,1,0,2,1
1302 Toronto Road,1911,8,262,99,3,2,2,2
1303 Toronto Road,1843,13,652,75,3,3,2,2
1304 Toronto Road,1956,37,80,80,1,2,1,2
1305 Toronto Road,1899,6,47,82,0,2,3,1
1306 Toronto Road,1991,46,697,92,3,3,2,2
1307 Toronto Road,1937,26,704,67,2,0,2,1
1308 Toronto Road,1962,3,190,93,3,2,3,3
1309 Toronto Road,1913,19,269,73,3,2,2,1
1310 Toronto Road,1932,36,349,18,3,2,2,1
1311 Toronto Road,1967,47,48,22,0,2,3,2
1312 Toronto Road,1843,29,330,21,0,1,0,1
1313 Toronto Road,1996,11,65,31,3,0,3,2
1314 Toronto Road,1891,20,503,66,1,3,1,3
1315 Toronto Road,1898,23,97,6,1,0,3,0
1316 Toronto Road,2006,42,651,62,0,2,0,0
1317 Toronto Road,1962,30,432,48,1,3,1,1
1318 Toronto Road,2014,24,719,64,3,0,3,1
1319 Toronto Road,1934,7,710,63,2,3,2,2
1320 Toronto Road,1983,17,96,99,3,1,3,2
1321 Toronto Road,1958,9,264,49,3,1,0,0
1322 Toronto Road,1993,28,125,51,0,0,0,3
1323 Toronto Road,1882,25,218,36,0,1,2,3
1324 Toronto Road,1956,17,236,25,1,1,1,2
1325 Toronto Road,2004,16,106,56,1,1,0,3
1326 Toronto Road,1993,9,329,98,2,3,2,1
1327 Toronto Road,1991,9,455,17,3,2,1,3
1328 Toronto Road,1930,33,477,45,2,1,3,1
1329 Toronto Road,1932,38,170,96,2,3,3,2
1330 Toronto Road,1949,40,618,87,1,0,3,1
1331 Toronto Road,1884,36,420,32,2,0,3,3
1332 Toronto Road,1841,9,222,58,2,0,3,3
1333 Toronto Road,1922,20,393,11,0,0,3,2
1334 Toronto Road,1915,13,291,46,1,3,1,3
1335 Toronto Road,1882,49,604,96,3,1,3,0
1336 Toronto Road,1901,27,674,19,0,0,1,2
1337 Toronto Road,1910,14,690,25,1,3,1,2
1338 Toronto Road,1996,15,331,5,2,1,3,1
1339 Toronto Road,1988,49,584,5,0,0,0,3
1340 Toronto Road,2004,5,174,16,3,3,0,2
1341 Toronto Road,2021,22,161,58,1,0,3,1
1342 Toronto Road,2002,39,316,20,1,0,1,3
1343 Toronto Road,1957,12,558,70,0,3,0,0
1344 Toronto Road,1893,8,150,33,1,2,1,2
1345 Toronto Road,1885,14,249,36,1,3,0,3
1346 Toronto Road,1887,29,395,72,2,0,1,0
1347 Toronto Road,1996,23,300,34,1,3,2,1
1348 Toronto Road,1933,47,362,16,3,3,1,0
1349 Toronto Road,1923,7,91,34,2,1,0,1
1350 Toronto Road,1941,6,372,93,0,1,2,3
1351 Toronto Road,2011,18,335,91,2,0,0,1
1352 Toronto Road,1878,35,685,42,3,0,1,0
1353 Toronto Road,2016,25,313,76,1,2,0,2
1354 Toronto Road,1999,38,716,84,2,3,2,2
1355 Toronto Road,1851,23,57,19,1,2,2,1
1356 Toronto Road,1843,15,437,25,3,2,2,2
1357 Toronto Road,1863,8,82,7,1,1,0,1
1358 Toronto Road,1915,25,34,28,2,2,3,2
1359 Toronto Road,1899,24,541,64,3,1,2,3
1360 Toronto Road,1868,41,176,62,0,0,3,2
1361 Toronto Road,1920,48,557,60,2,1,2,2
1362 Toronto Road,2007,5,183,80,1,0,1,1
1363 Toronto Road,1945,49,665,92,0,3,2,0
1364 Toronto Road,1907,31,207,30,2,0,0,0
1365 Toronto Road,1882,5,156,53,0,1,3,2
1366 Toronto Road,1963,46,185,73,2,2,1,0
1367 Toronto Road,1929,10,652,17,0,3,0,0
1368 Toronto Road,1861,45,378,96,0,0,2,2
1369 Toronto Road,2014,23,148,67,2,2,0,3
1370 Toronto Road,1954,8,201,45,0,2,0,0
1371 Toronto Road,1892,3,647,72,3,2,2,2
1372 Toronto Road,1856,27,524,9,3,1,1,0
1373 Toronto Road,1877,46,190,59,0,1,3,0
1374 Toronto Road,1863,8,703,63,2,0,2,3
1375 Toronto Road,1908,43,353,3,1,1,0,1
1376 Toronto Road,1944,14,656,95,3,3,1,2
1377 Toronto Road,1947,28,32,3,1,1,2,2
1378 Toronto Road,1900,7,224,99,1,3,0,0
1379 Toronto Road,1974,37,139,62,2,3,3,1
1380 Toronto Road,1923,44,637,22,2,0,0,3
1381 Toronto Road,1843,17,633,62,3,3,2,1
1382 Toronto Road,1884,5,592,44,2,3,1,0
1383 Toronto Road,1954,18,691,33,1,1,2,1
1384 Toronto Road,2010,43,444,18,2,3,2,2
1385 Toronto Road,1867,28,267,72,2,3,1,0
1386 Toronto Road,2001,3,647,64,2,3,3,3
1387 Toronto Road,1950,4,184,24,0,0,0,2
1388 Toronto Road,2017,41,421,69,2,2,2,2
1389 Toronto Road,2015,51,292,57,2,0,1,1
1390 Toronto Road,1984,9,298,61,0,1,1,3
1391 Toronto Road,1855,5,593,43,1,0,2,2
1392 Toronto Road,1992,19,354,1,0,1,2,1
1393 Toronto Road,1852,42,65,92,1,1,3,3
1394 Toronto Road,1843,14,332,97,3,1,0,2
1395 Toronto Road,1884,38,534,48,3,3,3,3
1396 Toronto Road,1839,37,437,8,0,0,0,0
1397 Toronto Road,1868,22,177,33,3,3,1,0
1398 Toronto Road,1975,38,186,68,1,2,0,3
1399 Toronto Road,1922,34,426,9,1,3,0,0
1400 Toronto Road,1990,26,228,38,3,0,0,1
1401 Toronto Road,1974,18,77,36,2,3,0,0
1402 Toronto Road,1995,25,137,86,1,2,3,0
1403 Toronto Road,1893,29,486,91,3,3,3,3
1404 Toronto Road,1854,3,596,77,1,0,3,3
1405 Toronto Road,1911,40,479,91,1,3,1,0
1406 Toronto Road,1960,24,256,11,2,1,1,1
1407 Toronto Road,1969,51,35,56,2,1,2,2
1408 Toronto Road,1974,46,334,6,2,2,0,2
1409 Toronto Road,1896,41,238,75,1,1,0,2
1410 Toronto Road,2010,12,114,54,2,1,3,0
1411 Toronto Road,1856,48,371,51,2,1,2,3
1412 Toronto Road,2012,16,267,23,2,1,1,1
1413 Toronto Road,1968,19,153,97,1,0,3,2
1414 Toronto Road,1855,12,550,96,0,1,2,1
1415 Toronto Road,1850,48,240,76,2,2,3,1
1416 Toronto Road,1977,6,350,62,0,3,1,2
1417 Toronto Road,1952,5,499,81,0,2,2,2
1418 Toronto Road,1891,25,589,62,1,0,2,0
1419 Toronto Road,1923,41,562,24,1,3,2,0
1420 Toronto Road,1840,7,137,86,1,3,3,3
1421 Toronto Road,1989,39,653,51,0,0,1,0
1422 Toronto Road,1879,20,34,30,2,2,2,1
1423 Toronto Road,2004,46,700,13,0,2,0,0
1424 Toronto Road,1982,5,114,28,0,1,3,0
1425 Toronto Road,1959,33,712,60,1,2,3,1
1426 Toronto Road,1852,22,633,15,1,3,3,0
1427 Toronto Road,1951,22,610,36,1,1,0,1
1428 Toronto Road,1925,25,529,85,1,1,1,1
1429 Toronto Road,1870,13,289,55,1,3,1,3
1430 Toronto Road,1870,9,269,32,1,2,3,1
1431 Toronto Road,1987,16,234,15,2,2,1,1
1432 Toronto Road,1873,50,704,40,3,1,0,2
1433 Toronto Road,1915,24,539,78,1,3,3,2
1434 Toronto Road,1892,44,463,11,1,2,3,2
1435 Toronto Road,1908,24,158,20,1,1,2,0
1436 Toronto Road,1868,17,230,47,2,2,3,1
1437 Toronto Road,1874,41,47,12,0,3,3,0
1438 Toronto Road,1847,24,647,85,1,3,0,3
1439 Toronto Road,1941,20,43,66,3,2,2,1
1440 Toronto Road,1965,5,405,67,0,1,3,1
1441 Toronto Road,1895,12,393,7,1,1,1,1
1442 Toronto Road,1998,26,523,21,3,0,0,2
1443 Toronto Road,1917,50,248,27,1,3,1,1
1444 Toronto Road,1876,32,68,87,2,0,2,3
1445 Toronto Road,1994,20,527,22,2,2,3,1
1446 Toronto Road,1875,27,547,44,3,3,1,1
1447 Toronto Road,1970,4,528,7,0,3,1,2
1448 Toronto Road,2019,44,286,33,0,0,0,3
1449 Toronto Road,1858,47,35,53,0,0,1,1
1450 Toronto Road,2009,8,600,30,0,2,2,3
1451 Toronto Road,1924,13,18,89,0,1,2,1
1452 Toronto Road,1842,17,227,62,3,3,0,1
1453 Toronto Road,1997,44,204,35,1,3,3,2
1454 Toronto Road,2000,48,60,60,3,3,2,0
1455 Toronto Road,1852,39,61,34,2,3,0,3
1456 Toronto Road,2004,19,549,89,0,2,2,3
1457 Toronto Road,1855,46,453,73,2,0,0,3
1458 Toronto Road,1854,41,362,88,1,1,2,1
1459 Toronto Road,1991,47,486,45,2,3,0,2
1460 Toronto Road,1919,46,198,27,1,0,0,1
1461 Toronto Road,1862,44,414,5,1,1,3,2
1462 Toronto Road,1959,30,676,98,2,3,0,1
1463 Toronto Road,1871,47,485,55,3,0,0,1
1464 Toronto Road,2007,14,691,36,0,2,2,2
1465 Toronto Road,1854,7,328,57,2,1,1,2
1466 Toronto Road,1874,6,704,91,3,3,1,1
1467 Toronto Road,1861,24,713,78,0,2,3,1
1468 Toronto Road,1872,49,663,28,3,0,3,2
1469 Toronto Road,1844,46,155,23,1,1,0,3
1470 Toronto Road,1865,24,689,51,1,1,2,1
1471 Toronto Road,1950,49,470,63,3,2,0,0
1472 Toronto Road,1881,28,194,79,1,1,0,2
1473 Toronto Road,1918,4,629,59,2,2,0,3
1474 Toronto Road,1856,10,610,36,2,2,2,3
1475 Toronto Road,1879,26,601,43,3,3,1,0
1476 Toronto Road,2006,17,330,89,3,2,0,3
1477 Toronto Road,1991,45,98,13,2,3,3,2
1478 Toronto Road,1916,20,467,29,1,1,3,3
1479 Toronto Road,1954,40,29,43,3,0,1,3
1480 Toronto Road,1940,43,674,71,3,2,1,2
1481 Toronto Road,1869,35,16,36,1,0,1,2
1482 Toronto Road,1984,24,542,88,3,1,1,0
1483 Toronto Road,2020,8,176,29,3,1,2,2
1484 Toronto Road,1970,24,573,78,3,0,1,1
1485 Toronto Road,1921,51,597,30,0,0,1,1
1486 Toronto Road,1942,27,578,21,2,1,1,1
1487 Toronto Road,1910,48,364,15,3,1,0,3
1488 Toronto Road,1925,34,619,37,2,3,0,0
1489 Toronto Road,1966,43,60,7,2,0,0,3
1490 Toronto Road,1869,24,624,55,2,3,1,0
1491 Toronto Road,1886,37,177,68,3,3,0,3
1492 Toronto Road,1932,46,597,58,2,3,2,3
1493 Toronto Road,2004,3,386,14,3,3,3,0
1494 Toronto Road,1921,45,623,42,2,1,1,1
1495 Toronto Road,1884,26,518,48,2,3,3,0
1496 Toronto Road,1853,31,709,83,0,1,0,0
1497 Toronto Road,1873,37,298,45,2,1,2,0
1498 Toronto Road,1919,45,519,29,3,1,3,2
1499 Toronto Road,1916,33,280,14,0,3,2,1
1500 Toronto Road,1901,30,106,53,3,0,1,1
1501 Toronto Road,1984,13,517,10,3,1,3,1
1502 Toronto Road,1914,34,265,21,2,2,1,1
1503 Toronto Road,1986,50,473,98,2,3,0,2
1504 Toronto Road,1904,10,202,19,0,1,1,1
1505 Toronto Road,1971,42,653,94,1,1,1,0
1506 Toronto Road,1862,11,478,57,0,0,1,2
1507 Toronto Road,1992,18,100,41,3,3,1,0
1508 Toronto Road,1997,35,37,24,2,1,1,0
1509 Toronto Road,2000,42,675,59,2,2,1,1
1510 Toronto Road,1851,22,208,96,3,3,3,0
1511 Toronto Road,1909,6,602,86,0,1,1,0
1512 Toronto Road,1882,49,108,59,0,1,2,0
1513 Toronto Road,1925,21,624,88,1,2,3,0
1514 Toronto Road,1856,27,202,57,3,2,1,1
1515 Toronto Road,1884,10,506,3,3,1,0,1
1516 Toronto Road,1931,17,565,83,1,0,1,2
1517 Toronto Road,1940,21,151,94,3,3,1,0
1518 Toronto Road,1986,47,343,18,1,0,1,0
1519 Toronto Road,1943,30,643,46,2,2,3,0
1520 Toronto Road,1981,47,698,23,3,0,0,0
1521 Toronto Road,1920,34,600,91,3,1,2,2
1522 Toronto Road,1896,3,150,67,1,3,0,3
1523 Toronto Road,1862,50,341,42,0,0,2,3
1524 Toronto Road,1983,47,297,41,1,1,2,2
1525 Toronto Road,1985,4,254,32,2,1,2,1
1526 Toronto Road,1974,50,43,84,0,0,3,0
1527 Toronto Road,2009,7,290,14,2,0,3,3
1528 Toronto Road,2007,38,442,49,0,0,0,1
1529 Toronto Road,1887,30,298,57,2,1,1,3
1530 Toronto Road,1921,11,718,70,3,2,0,1
1531 Toronto Road,1974,27,302,3,0,1,0,1
1532 Toronto Road,2016,32,695,78,2,1,2,3
1533 Toronto Road,2008,24,553,18,3,2,0,1
1534 Toronto Road,1946,50,441,62,1,0,1,2
1535 Toronto Road,1844,29,355,83,0,1,1,0
1536 Toronto Road,1839,37,664,14,2,1,0,3
1537 Toronto Road,1881,17,257,32,2,2,1,2
1538 Toronto Road,1856,24,410,28,1,3,2,3
1539 Toronto Road,1925,11,130,62,2,1,1,3
1540 Toronto Road,1912,3,485,80,3,1,2,1
1541 Toronto Road,1845,23,55,75,1,2,0,1
1542 Toronto Road,1860,3,36,60,3,1,0,1
1543 Toronto Road,1915,51,326,68,2,1,2,0
1544 Toronto Road,2004,49,481,33,0,1,0,0
1545 Toronto Road,1905,19,519,85,0,3,3,0
1546 Toronto Road,1963,44,110,23,0,0,3,0
1547 Toronto Road,1866,48,284,94,1,3,3,0
1548 Toronto Road,1933,31,699,79,0,1,1,0
1549 Toronto Road,1849,37,561,39,3,2,0,3
1550 Toronto Road,1914,4,132,86,1,3,3,0
1551 Toronto Road,1841,34,676,31,0,1,3,1
1552 Toronto Road,1960,29,501,35,0,1,0,2
1553 Toronto Road,1943,8,687,77,2,2,1,3
1554 Toronto Road,1980,43,43,70,3,0,0,1
1555 Toronto Road,1959,16,316,9,2,2,3,1
1556 Toronto Road,1859,38,424,4,3,2,1,0
1557 Toronto Road,2016,30,526,72,1,3,2,1
1558 Toronto Road,1875,13,671,52,2,3,3,2
1559 Toronto Road,1888,13,458,42,1,3,3,1
1560 Toronto Road,2000,38,537,96,2,2,1,2
1561 Toronto Road,1905,46,101,24,2,0,1,1
1562 Toronto Road,1925,44,447,58,3,2,0,3
1563 Toronto Road,1993,12,170,70,3,2,0,3
1564 Toronto Road,1892,9,361,91,1,0,0,0
1565 Toronto Road,1899,4,346,44,0,2,0,1
1566 Toronto Road,1924,45,379,35,3,3,0,3
1567 Toronto Road,1972,16,717,86,2,1,0,1
1568 Toronto Road,1862,24,211,68,1,1,1,3
1569 Toronto Road,1989,49,694,83,1,1,0,1
1570 Toronto Road,1956,18,552,28,2,1,0,0
1571 Toronto Road,1973,17,448,87,1,0,3,1
1572 Toronto Road,1964,17,156,43,2,0,2,1
1573 Toronto Road,1965,43,295,10,2,2,2,0
1574 Toronto Road,1915,4,271,72,1,1,2,0
1575 Toronto Road,1970,45,269,61,3,3,3,1
1576 Toronto Road,1990,7,270,85,2,0,1,0
1577 Toronto Road,1943,41,666,23,1,3,0,1
1578 Toronto Road,1974,41,386,79,0,1,2,2
1579 Toronto Road,1896,20,396,68,3,1,1,2
1580 Toronto Road,1883,10,404,0,1,3,3,3
1581 Toronto Road,1940,22,389,3,3,3,2,3
1582 Toronto Road,1943,10,560,87,3,0,3,3
1583 Toronto Road,1866,16,416,72,0,3,1,1
1584 Toronto Road,1906,35,164,33,3,3,1,2
1585 Toronto Road,2003,51,243,58,1,0,2,3
1586 Toronto Road,1867,27,403,93,2,1,3,3
1587 Toronto Road,2004,31,622,69,1,3,1,3
1588 Toronto Road,1914,35,332,18,3,0,0,2
1589 Toronto Road,1909,17,657,4,3,1,1,3
1590 Toronto Road,1892,18,428,23,2,2,0,3
1591 Toronto Road,1849,30,453,49,1,0,0,0
1592 Toronto Road,1892,10,84,46,2,2,3,2
1593 Toronto Road,1909,3,79,50,2,2,1,0
1594 Toronto Road,1894,11,620,81,3,3,3,1
1595 Toronto Road,1970,27,401,66,3,3,2,1
1596 Toronto Road,1914,47,329,5,2,2,0,1
1597 Toronto Road,1875,14,510,93,0,1,3,0
1598 Toronto Road,1942,8,186,17,3,0,3,0
1599 Toronto Road,1866,51,223,97,1,3,0,3
1600 Toronto Road,1897,37,21,90,3,0,0,3
1601 Toronto Road,1935,6,241,54,2,0,2,0
1602 Toronto Road,1950,44,132,44,1,0,3,3
1603 Toronto Road,1986,16,334,1,3,0,3,3
1604 Toronto Road,1913,19,284,5,0,2,1,2
1605 Toronto Road,1966,37,129,9,2,2,0,0
1606 Toronto Road,1907,20,414,91,3,0,3,1
1607 Toronto Road,1863,21,194,10,1,1,1,0
1608 Toronto Road,1838,36,499,16,3,2,0,3
1609 Toronto Road,1927,40,263,41,1,2,3,2
1610 Toronto Road,1936,8,260,86,2,3,0,1
1611 Toronto Road,1991,35,709,13,1,1,2,2
1612 Toronto Road,1852,27,650,6,0,2,3,2
1613 Toronto Road,1962,46,712,49,3,1,0,1
1614 Toronto Road,1871,24,660,84,1,3,0,0
1615 Toronto Road,1855,24,137,66,0,3,1,2
1616 Toronto Road,1863,44,668,67,1,1,0,0
1617 Toronto Road,1896,22,95,31,3,0,2,3
1618 Toronto Road,2015,20,535,98,1,2,2,3
1619 Toronto Road,1941,13,472,26,1,2,3,0
1620 Toronto Road,1932,28,284,69,0,1,2,2
1621 Toronto Road,1928,17,313,8,3,1,2,0
1622 Toronto Road,2014,19,99,1,2,2,3,3
1623 Toronto Road,1995,25,488,18,1,3,3,0
1624 Toronto Road,1844,8,185,17,1,2,0,1
1625 Toronto Road,2021,28,283,26,2,2,1,2
1626 Toronto Road,1887,24,167,37,1,2,0,3
1627 Toronto Road,1946,18,361,63,3,1,1,1
1628 Toronto Road,1959,32,543,3,3,2,2,0
1629 Toronto Road,1870,41,299,0,1,1,2,0
1630 Toronto Road,1893,14,415,7,2,3,1,2
1631 Toronto Road,1967,6,397,3,0,2,1,1
1632 Toronto Road,1989,34,132,52,3,1,1,0
1633 Toronto Road,2016,5,644,9,3,0,3,0
1634 Toronto Road,1900,16,103,67,0,0,3,2
1635 Toronto Road,2009,16,379,67,0,3,3,0
1636 Toronto Road,1907,26,351,77,0,1,2,3
1637 Toronto Road,1983,14,698,74,0,1,0,1
1638 Toronto Road,2017,31,590,57,0,1,1,0
1639 Toronto Road,1851,33,298,91,2,0,0,3
1640 Toronto Road,1844,9,349,68,0,2,3,2
1641 Toronto Road,1849,8,615,80,1,0,1,1
1642 Toronto Road,1877,41,161,79,0,0,0,1
1643 Toronto Road,1954,50,545,34,1,3,0,2
1644 Toronto Road,2016,12,673,58,3,0,0,3
1645 Toronto Road,2013,22,543,28,0,0,3,0
1646 Toronto Road,1860,10,45,17,1,3,0,1
1647 Toronto Road,1904,24,347,24,1,2,0,1
1648 Toronto Road,1935,50,567,77,1,1,2,0
1649 Toronto Road,1866,36,252,33,0,1,3,0
1650 Toronto Road,1846,49,577,54,1,1,0,2
1651 Toronto Road,1844,12,58,46,0,3,3,2
1652 Toronto Road,1914,11,618,31,1,1,3,3
1653 Toronto Road,1943,28,197,89,2,0,0,2
1654 Toronto Road,1848,42,652,15,2,1,1,2
1655 Toronto Road,1960,36,474,79,2,3,0,2
1656 Toronto Road,2000,44,451,56,3,1,3,0
1657 Toronto Road,1938,51,53,19,0,2,1,3
1658 Toronto Road,1936,30,672,74,3,3,1,0
1659 Toronto Road,1878,9,549,11,2,2,2,3
1660 Toronto Road,1919,5,632,32,3,3,3,1
1661 Toronto Road,2001,43,380,65,0,2,3,3
1662 Toronto Road,1972,36,704,58,1,0,0,3
1663 Toronto Road,2023,22,282,75,2,3,2,0
1664 Toronto Road,1845,46,134,59,0,1,2,0
1665 Toronto Road,1838,37,497,51,3,0,1,0
1666 Toronto Road,1841,44,121,8,1,1,2,0
1667 Toronto Road,1882,21,467,11,2,2,2,3
1668 Toronto Road,2013,35,198,32,2,3,2,0
1669 Toronto Road,1843,20,569,34,2,3,2,3
1670 Toronto Road,1917,47,568,16,0,0,2,0
1671 Toronto Road,1877,46,84,20,0,2,3,3
1672 Toronto Road,1868,43,186,74,0,3,1,1
1673 Toronto Road,1970,3,530,16,2,0,3,2
1674 Toronto Road,1844,30,252,26,1,0,1,2
1675 Toronto Road,1959,39,433,64,1,0,2,3
1676 Toronto Road,1870,50,537,15,2,2,0,2
1677 Toronto Road,2001,35,703,20,3,1,3,1
